src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
PAN,CRI,10783,364344.583333328,33.7887956351042,0.373657218102433,0.0295956094676861
NIC,SLV,8668,165161.083333333,19.0541166743578,0.253977555744382,0.0524820970234615
TZA,KEN,15011,80010.4166666635,5.33011902382676,0.464866371434765,0.187613071214693
KHM,THA,11026,750345.499999998,68.0523762017049,0.620553804592526,0.0146945640375001
HRV,MNE,888,55159.1666666668,62.1161786786788,0.0331108542451247,0.0160988654046622
CAN,RUS,25252,112510.416666662,4.45550517450745,0.223372166051889,0.22444144060736
BRN,PHL,2778,235975,84.944204463643,0.157242316182714,0.0117724335205
ALB,ITA,3239,315693.833333334,97.4664505505818,0.161820543565148,0.0102599406703647
FIN,EST,2688,283719.250000001,105.550316220238,0.158987401667948,0.00947415446784099
JAM,NIC,173,19376.8333333334,112.004816955684,0.0128290693362996,0.00892818744032822
RUS,GEO,1995,52376.8333333334,26.2540517961571,0.0162883736120183,0.0380893588450364
BRN,IDN,1312,157725.166666667,120.217352642277,0.0742627497594385,0.00831826668963205
EST,FIN,1309,95330.0000000001,72.8265851795265,0.0885416666666667,0.0137312493443827
SUR,TTO,1201,38856.5,32.3534554537885,0.0992561983471074,0.030908599590802
MLT,GRC,61,7479.25000000001,122.610655737705,0.0391779062299294,0.00815589798442356
MNE,BIH,3809,22503.8333333334,5.90806860943381,0.377315502724121,0.169260051991142
NIC,PAN,285,27769.1666666667,97.43567251462,0.00835066951859123,0.0102631815862917
NIC,USA,11,1069.66666666667,97.2424242424244,0.000322306542822819,0.0102835774384543
HTI,JAM,839,54827.6666666667,65.3488279698054,0.0282216018029533,0.0153024932667814
GTM,SLV,529,5563.25,10.5165406427221,0.0454506400893548,0.0950883027007594
DJI,OMN,258,35843.5833333334,138.92861757106,0.0150780199871428,0.00719794105407057
KWT,QAT,642,61976.1666666667,96.5360851505712,0.0607436843599205,0.010358820729474
CMR,NGA,963,8711.83333333334,9.0465559016961,0.43972602739726,0.110539304777027
MYS,SGP,177,12999.5,73.4435028248588,0.00120167827610086,0.0136159083041655
IRQ,OMN,938,132076.75,140.806769722815,0.0248167844008784,0.00710193126345097
SUR,CUB,136,20162.4166666667,148.25306372549,0.0112396694214876,0.00674522316686574
JPN,PHL,23,3386.08333333334,147.221014492754,0.00168362491764878,0.00679250855216203
NIC,COL,176,28109.1666666667,159.711174242424,0.00515690468516511,0.00626130265927484
TUN,ESP,7,926.416666666669,132.345238095238,0.000591316100692685,0.00755599532247907
GUY,HTI,9,940.833333333334,104.537037037037,0.0452261306532663,0.0095659875996457
GTM,COL,22,3368.91666666667,153.132575757576,0.00189019675229831,0.00653028916318301
SYR,ISR,19,3021.08333333334,159.004385964913,0.00533408197641774,0.00628913469230132
GNQ,STP,16,1486.41666666667,92.9010416666669,0.0012911555842479,0.010764141952122
IDN,BGD,5,805.500000000001,161.1,4.88405259147831e-05,0.00620732464307883
RUS,ROU,27,4068.16666666667,150.672839506173,0.000220444154147616,0.00663689622680158
BEN,STP,1,144.916666666667,144.916666666667,8.72219799389446e-05,0.0069005175388154
GTM,PAN,11,1652.33333333334,150.212121212121,0.000945098376149154,0.00665725237038531
HND,CUB,3,284.5,94.8333333333335,6.90448791714614e-05,0.0105448154657293
DMA,PAN,2,344.75,172.375,0.00139664804469274,0.00580130529369108
DMA,USA,6,1040.25,173.375,0.00418994413407821,0.00576784426820476
SLE,SEN,2,259.833333333334,129.916666666667,0.000194741966893866,0.00769724182168055
MDG,DJI,1,161.25,161.25,2.90056851142824e-05,0.0062015503875969
BIH,LBY,1,128.333333333333,128.333333333333,0.000100090081072966,0.00779220779220781
ITA,SYR,3,538.750000000001,179.583333333334,6.65276976981417e-05,0.00556844547563804
NIC,HND,10703,32861.4166666635,3.07029960447197,0.313604266166603,0.325701113514614
DJI,ERI,13188,26040.5833333334,1.97456652512385,0.770732277482321,0.506440267915145
URY,BRA,16256,42015.4166666665,2.58460978510498,0.297277033081579,0.386905600126939
PHL,IDN,78655,7331430.58333375,93.2099749962971,0.623227104892002,0.0107284654892325
LBN,SYR,2656,14313.0833333333,5.38896209839357,0.577642453240539,0.18556448936579
SAU,QAT,10860,316930.250000001,29.1832642725599,0.307222269371128,0.0342662147270574
POL,DEU,6033,41351,6.85413558760153,0.420858039762818,0.145897318081788
RUS,CAN,26236,168412.749999989,6.41914735477926,0.214206401045069,0.155783929660918
CHL,ARG,115753,523372.583333357,4.52146020693509,0.856332255701952,0.221167488871446
MOZ,TZA,7490,64392.0833333333,8.59707387627948,0.655694651142432,0.116318646831585
QAT,SAU,2752,25083.7500000001,9.11473473837211,0.136494395397282,0.109712463248119
MOZ,SOM,529,47104.5833333334,89.0445809703845,0.046310076162129,0.0112303296742178
GTM,HND,2015,4926.16666666667,2.44474772539289,0.173124838903686,0.409040159691443
LBR,SLE,5599,10085.7499999967,1.80134845508067,0.955297730762668,0.555139677267615
QAT,BHR,1038,28735.3333333334,27.6833654463713,0.0514829877988295,0.036122775676867
ITA,LBY,7210,1021886.41666666,141.731819232547,0.159888233467867,0.00705557866550239
DMA,HTI,256,28590.75,111.6826171875,0.17877094972067,0.0089539448947649
BRA,GRD,684,62360.3333333334,91.1700779727096,0.0327366708145879,0.0109685109658383
GBR,DNK,4424,612873.250000001,138.533736437613,0.149026477127265,0.00721845830275672
CUB,MEX,1431,133074.75,92.9942348008386,0.400167785234899,0.0107533547874409
MMR,IND,6221,577015.333333335,92.7528264480525,0.184528223533948,0.0107813426101906
MDG,KEN,955,92405.1666666668,96.7593368237348,0.0277004292841397,0.0103349199449526
TTO,CRI,824,98927.5833333335,120.057746763754,0.0428029712742195,0.00832932507027446
DEU,NOR,1274,152446.083333334,119.659406070121,0.0287318734354209,0.00835705301273181
BEL,DNK,156,17240.6666666667,110.517094017094,0.00873460246360582,0.00904837399945863
TUN,ITA,289,26998,93.4186851211074,0.0244129075857408,0.0107044966293799
DJI,SDN,89,13853.5,155.657303370787,0.00520133247618491,0.00642436929295845
GRD,CRI,43,6014.25000000001,139.866279069768,0.016238670694864,0.00714968616203183
ATG,CUB,90,12954.5833333333,143.939814814815,0.186335403726708,0.00694734810716927
DZA,MLT,92,11624.75,126.35597826087,0.0050174520069808,0.00791414869136969
SAU,DJI,333,34510.8333333334,103.636136136136,0.00942035135364508,0.0096491439886026
LBY,GRC,32,3024.66666666667,94.5208333333335,0.0087839692561076,0.0105796782014547
VNM,SGP,48,4872.91666666667,101.519097222222,0.000950551517911955,0.00985036340316374
CRI,BLZ,38,5232.58333333334,137.699561403509,0.00119734064341305,0.00726218725613542
MOZ,MDG,70,7078.33333333335,101.119047619048,0.00612798739385451,0.00988933364728042
TZA,DJI,3,364.750000000001,121.583333333334,9.29051438481311e-05,0.00822481151473611
GMB,SLE,5,834.083333333334,166.816666666667,0.000653082549634274,0.00599460485562993
BRB,CRI,6,1015.33333333334,169.222222222223,0.00518582541054451,0.00590938936309914
BEL,GBR,78,3215.75,41.2275641025641,0.00436730123180291,0.024255616885641
PLW,PNG,11,1613.5,146.681818181818,0.00509259259259259,0.00681747753331267
BRA,MEX,16,2613,163.3125,0.00076577007753422,0.00612323000382702
ESP,LBY,26,4315.08333333334,165.964743589744,0.000483946021405305,0.00602537610320387
PER,CRI,3,402.083333333333,134.027777777778,0.000303306035790112,0.00746113989637306
DMA,HND,2,347.166666666667,173.583333333334,0.00139664804469274,0.00576092174747959
HTI,GTM,11,1604.08333333334,145.825757575758,0.000370009082041105,0.00685749909086185
LVA,FIN,23,2345.5,101.978260869565,0.00171181899374814,0.00980601151140481
FRA,LBY,14,2270.41666666667,162.172619047619,0.000321853878339234,0.00616626904019085
TZA,LKA,1,161.916666666667,161.916666666667,3.09683812827104e-05,0.00617601646937724
BGR,UKR,2,262.833333333334,131.416666666667,0.00391389432485323,0.00760938490805325
GUY,PAN,1,172.916666666667,172.916666666667,0.0050251256281407,0.00578313253012047
TTO,CUB,3865,487289.250000002,126.07742561449,0.200768791231624,0.00793163403461083
VNM,KHM,5666,183920.416666666,32.4603629838804,0.112204685426857,0.0308068027611581
ROU,BGR,5306,119967.583333334,22.609797085061,0.58314100450599,0.0442286145354542
FRA,BEL,5386,23902.5833333334,4.43791001361555,0.123821784909651,0.225331292642706
RUS,UKR,6395,289605.833333334,45.2862913734689,0.0522126061397779,0.0220817375340621
PNG,VUT,1288,179245.916666667,139.16608436853,0.0148460642945238,0.00718565880859209
SGP,IDN,2514,70705,28.1245027844073,0.388802969378286,0.0355561841453928
SWE,DNK,4774,209290.666666667,43.8396871945259,0.106966010172302,0.0228103817338566
GRD,CUB,471,63658.0833333334,135.15516631281,0.177870090634441,0.00739890325528179
UKR,BGR,7224,752865.583333332,104.217273440384,0.229646819467845,0.00959533834448316
SLB,IDN,399,47616.6666666667,119.340016708438,0.00698003953606354,0.00837941897094854
GRC,ITA,1242,142372.333333334,114.631508319914,0.0239158900100131,0.00872360500752719
VUT,SLB,300,30660.5833333334,102.201944444445,0.166852057842047,0.00978454965251258
