iso3,cluster
AGO,0
ALB,1
ARE,0
ARG,3
ATG,4
AUS,5
BEL,6
BEN,7
BGD,8
BGR,9
BHR,0
BLZ,10
BRA,3
BRB,4
BRN,5
CAN,9
CHL,3
CHN,8
CMR,7
COL,10
CRI,10
CUB,4
CYP,1
DEU,6
DJI,0
DMA,4
DNK,6
DOM,4
DZA,1
ECU,10
ERI,0
ESP,1
EST,6
FIN,6
FJI,5
FRA,1
GAB,7
GBR,6
GEO,9
GHA,7
GIN,2
GMB,2
GNQ,7
GRC,1
GRD,4
GTM,10
GUY,4
HND,10
HRV,1
HTI,4
IDN,5
IND,8
IRL,6
IRQ,0
ISL,6
ISR,1
ITA,1
JAM,4
JOR,1
JPN,9
KEN,0
KHM,8
KOR,9
KWT,0
LBN,1
LBR,2
LBY,1
LKA,8
LTU,6
LVA,6
MAR,1
MDG,0
MEX,10
MLT,1
MMR,8
MNE,1
MOZ,0
MRT,2
MUS,0
MYS,5
NAM,0
NGA,7
NIC,10
NLD,6
NOR,6
NZL,3
OMN,0
PAK,8
PAN,10
PER,3
PHL,5
PLW,5
PNG,5
POL,6
PRT,1
QAT,0
ROU,9
RUS,9
SAU,0
SDN,0
SEN,2
SGP,5
SLB,5
SLE,2
SLV,10
SOM,0
STP,7
SUR,4
SVN,1
SWE,6
SYR,1
TGO,7
THA,8
TTO,4
TUN,1
TZA,0
UKR,9
URY,3
USA,9
VNM,8
VUT,5
WSM,5
ZAF,0
