iso3,year,pop,gdp_pc
AGO,2003,17943712,2403.40415157038
AGO,2004,18600423,2583.32411461288
AGO,2005,19291161,2843.3966357968
AGO,2006,20015279,3065.05576243895
AGO,2007,20778561,3336.36332465208
AGO,2008,21578655,3559.19522512236
AGO,2009,22414773,3494.80724466172
AGO,2010,23294825,3540.79159568381
AGO,2011,24218352,3528.16824373399
AGO,2012,25177394,3682.35229322763
AGO,2013,26165620,3716.29718727282
AGO,2014,27160769,3746.81619978613
AGO,2015,28157798,3607.5102039943868
AGO,2016,29183070,3468.2042082026433
AGO,2017,30234839,3328.8982124109
AGO,2018,31297155,3196.79006983557
AGO,2019,32375632,3030.47576510225
AGO,2020,33451132,2864.16146036893
AGO,2021,34532429,2832.81777132286
ALB,2003,3039616,2428.68934653563
ALB,2004,3026939,2567.29763687121
ALB,2005,3011487,2712.86983830331
ALB,2006,2992547,2894.36032580174
ALB,2007,2970017,3105.8796756386
ALB,2008,2947314,3345.98161761476
ALB,2009,2927519,3459.24695646692
ALB,2010,2913021,3579.82413181046
ALB,2011,2905195,3677.89457937717
ALB,2012,2860708,3771.84781862015
ALB,2013,2816902,3895.89975621942
ALB,2014,2773767,4045.11934884933
ALB,2015,2731293,4246.156494768414
ALB,2016,2689469,4447.193640687497
ALB,2017,2648285,4648.23078660658
ALB,2018,2607733,4893.82375538717
ALB,2019,2567801,4937.220375317065
ALB,2020,2528480,4980.61699524696
ALB,2021,2489762,5511.75743402862
ARE,2003,4192457,53619.1925678774
ARE,2004,4428967,55611.419401142
ARE,2005,4664790,55363.5661047143
ARE,2006,5009100,56629.9761392644
ARE,2007,5624635,52038.6159567932
ARE,2008,6302664,47922.6988207823
ARE,2009,6707058,42672.1987890808
ARE,2010,6869838,42328.8508165469
ARE,2011,7104538,43687.7782783233
ARE,2012,7391448,43958.5681120856
ARE,2013,7693031,44312.6337162614
ARE,2014,8059440,44257.6514761082
ARE,2015,8505237,43936.107778232166
ARE,2016,8935095,43614.56408035613
ARE,2017,9223225,43293.0203824801
ARE,2018,9346701,43377.7858697225
ARE,2019,9445785,41628.13014870875
ARE,2020,9401038,39878.474427695
ARE,2021,9575152,40935.8936567784
ARG,2003,38424282,9545.53194119994
ARG,2004,38815916,10302.4465316428
ARG,2005,39216789,11099.7509190602
ARG,2006,39622115,11870.2791559298
ARG,2007,40016763,12811.9021206578
ARG,2008,40424148,13197.3570267029
ARG,2009,40854831,12285.3784651865
ARG,2010,41288694,13387.1553748458
ARG,2011,41730660,14040.6189124444
ARG,2012,42161721,13754.4254235596
ARG,2013,42582455,13946.0950832252
ARG,2014,43024071,13456.1319159151
ARG,2015,43477012,13477.458938815367
ARG,2016,43900313,13498.785961715634
ARG,2017,44288894,13520.1129846159
ARG,2018,44654882,13058.3285449954
ARG,2019,44973465,12225.68957039155
ARG,2020,45191965,11393.0505957877
ARG,2021,45312281,12549.2811699342
ATG,2003,77884,15703.9347145491
ATG,2004,78719,16433.4130541483
ATG,2005,79611,17301.2134317518
ATG,2006,80604,19259.6486517907
ATG,2007,81704,20770.2689732844
ATG,2008,82912,20464.786306605
ATG,2009,84173,17746.700856041
ATG,2010,85320,16135.397384487
ATG,2011,86332,15633.9091131821
ATG,2012,87260,15989.3900199779
ATG,2013,88064,15748.1952024226
ATG,2014,88765,15967.284996712
ATG,2015,89409,16309.167580982534
ATG,2016,89969,16651.050165253066
ATG,2017,90468,16992.9327495236
ATG,2018,90926,18042.1596435727
ATG,2019,91364,16496.52694164675
ATG,2020,91846,14950.8942397208
ATG,2021,92349,16084.7214406048
AUS,2003,19720737,48509.6632180363
AUS,2004,19932722,50018.5904483861
AUS,2005,20176844,50972.640519744
AUS,2006,20450966,51682.8925230537
AUS,2007,20827622,52671.325846724
AUS,2008,21249199,53497.275355342
AUS,2009,21691653,53430.5274781651
AUS,2010,22031750,53768.349733441
AUS,2011,22340024,54296.2321324814
AUS,2012,22733465,55465.4462872577
AUS,2013,23128129,55966.1509270561
AUS,2014,23475686,56571.8062524437
AUS,2015,23815995,57045.127950740134
AUS,2016,24190907,57518.449649036564
AUS,2017,24592588,57991.771347333
AUS,2018,24963258,58772.7063152213
AUS,2019,25334826,58575.236683500756
AUS,2020,25649248,58377.7670517802
AUS,2021,25685412,59465.535671364
BEL,2003,10376133,36826.2699296094
BEL,2004,10421137,37976.6972967442
BEL,2005,10478617,38645.2605193362
BEL,2006,10547958,39371.0858277448
BEL,2007,10625700,40520.0843207009
BEL,2008,10709973,40380.9075004042
BEL,2009,10796493,39293.637546825
BEL,2010,10895586,39991.5646206286
BEL,2011,11038264,40236.9596308558
BEL,2012,11106932,40074.492800399
BEL,2013,11159407,40007.8997891411
BEL,2014,11209057,40533.9135027898
BEL,2015,11274196,40895.7185449162
BEL,2016,11331422,41257.523587042604
BEL,2017,11375158,41619.328629169
BEL,2018,11427054,42208.3625650272
BEL,2019,11488980,41488.6921861617
BEL,2020,11538604,40769.0218072962
BEL,2021,11586195,43140.9676652971
BEN,2003,7913070,896.146763201736
BEN,2004,8159094,907.624431209378
BEN,2005,8426144,893.91536869992
BEN,2006,8693242,900.62053578735
BEN,2007,8953969,926.740113754071
BEN,2008,9228466,943.203380303862
BEN,2009,9509423,936.565651071554
BEN,2010,9797484,928.246655329144
BEN,2011,10093623,927.716412836707
BEN,2012,10397657,943.918771531001
BEN,2013,10708834,982.399206290516
BEN,2014,11030004,1014.4330062135
BEN,2015,11360681,1020.5902414562734
BEN,2016,11697842,1026.7474766990467
BEN,2017,12039780,1032.90471194182
BEN,2018,12383347,1071.50452156932
BEN,2019,12726755,1099.07928139543
BEN,2020,13070169,1126.65404122154
BEN,2021,13413417,1176.37727637273
BGD,2003,140970351,676.826252046427
BGD,2004,142902856,702.656357081873
BGD,2005,144715786,739.203718353409
BGD,2006,146405973,779.419570444998
BGD,2007,147989278,825.508229964537
BGD,2008,149474264,866.45815762135
BGD,2009,150873714,901.729626251937
BGD,2010,152201981,943.66422864236
BGD,2011,153591076,995.579947155662
BGD,2012,155070101,1050.39140404066
BGD,2013,156532141,1103.15695907123
BGD,2014,157964929,1159.40753475981
BGD,2015,159383179,1230.8562356404934
BGD,2016,160811932,1302.3049365211766
BGD,2017,162186147,1373.75363740186
BGD,2018,163523103,1462.25050255713
BGD,2019,164913055,1533.458213015665
BGD,2020,166298024,1604.6659234742
BGD,2021,167658854,1702.08028414189
BGR,2003,7775327,4519.18439177056
BGR,2004,7716860,4849.87141310477
BGR,2005,7658972,5231.33811895255
BGR,2006,7601022,5629.80127993005
BGR,2007,7545338,6048.74231752797
BGR,2008,7492561,6464.72198023576
BGR,2009,7444443,6288.72543188686
BGR,2010,7395599,6428.71742590538
BGR,2011,7348328,6605.30851691027
BGR,2012,7305888,6693.4277325127
BGR,2013,7160005,6792.73549964735
BGR,2014,7073572,6941.01853946718
BGR,2015,6984225,7260.248003023627
BGR,2016,6894139,7579.477466580073
BGR,2017,6803468,7898.70693013652
BGR,2018,6710798,8194.37434587757
BGR,2019,6616726,8317.228696544746
BGR,2020,6550696,8440.08304721192
BGR,2021,6507301,9161.47737990726
BHR,2003,764517,23857.6403579769
BHR,2004,823741,23688.1121059225
BHR,2005,888822,23439.6704353038
BHR,2006,960424,23095.0181330228
BHR,2007,1039295,23112.4888058398
BHR,2008,1103496,23127.2148040048
BHR,2009,1178415,22206.9371985225
BHR,2010,1228543,22224.0736166249
BHR,2011,1195020,23288.0449398313
BHR,2012,1208964,23894.8804447088
BHR,2013,1253191,24271.6278814506
BHR,2014,1314562,24135.4991304849
BHR,2015,1370322,23959.295003700365
BHR,2016,1423726,23783.090876915834
BHR,2017,1501116,23606.8867501313
