ID,lon,lat,iso2,iso3
1,-149.6301,-80.1845,NZ,NZL
2,-162.6335,-78.8931,NZ,NZL
3,-155.1533,-77.2406,NZ,NZL
4,-168.942,-84.6648,NZ,NZL
5,-147.9296,-79.8897,NZ,NZL
6,-162.1209,-78.9963,NZ,NZL
7,-150.7684,-77.7707,NZ,NZL
8,-153.4955,-81.5913,NZ,NZL
9,-146.9817,-77.4922,NZ,NZL
10,-147.6803,-76.1729,NZ,NZL
11,-155.5893,-81.1611,NZ,NZL
12,-155.485,-78.7218,NZ,NZL
13,-162.9411,-79.4185,NZ,NZL
14,-145.1364,-77.2592,NZ,NZL
15,-161.2964,-79.7302,NZ,NZL
16,-156.7977,-84.6819,NZ,NZL
17,-160.5183,-79.3019,NZ,NZL
18,-157.1186,-77.3998,NZ,NZL
19,-153.076,-77.5862,NZ,NZL
20,-162.7614,-83.8878,NZ,NZL
21,-145.6527,-76.8948,NZ,NZL
22,-160.4489,-83.5531,NZ,NZL
23,-148.248,-77.6402,NZ,NZL
24,-159.9336,-85.1857,NZ,NZL
25,-148.8235,-76.3172,NZ,NZL
26,-165.2227,-84.8816,NZ,NZL
27,-176.4713,-84.5694,NZ,NZL
28,-154.4812,-79.0489,NZ,NZL
29,-155.9471,-84.9369,NZ,NZL
30,-145.5404,-76.3069,NZ,NZL
31,-154.149,-78.0823,NZ,NZL
32,-147.6283,-80.8817,NZ,NZL
33,-150.4595,-80.253,NZ,NZL
34,-154.1083,-82.0459,NZ,NZL
35,-171.5063,-84.5552,NZ,NZL
36,-162.8223,-84.2946,NZ,NZL
37,-163.4095,-78.9287,NZ,NZL
38,-153.7266,-78.9906,NZ,NZL
39,-148.5106,-80.9552,NZ,NZL
40,-163.1826,-81.3728,NZ,NZL
41,-166.9718,-84.9077,NZ,NZL
42,-156.4584,-77.3484,NZ,NZL
43,-145.6237,-76.7475,NZ,NZL
44,-171.1359,-83.1085,NZ,NZL
45,-151.3273,-77.6897,NZ,NZL
46,-163.5753,-83.3708,NZ,NZL
47,-149.625,-77.9299,NZ,NZL
48,-154.8445,-78.1396,NZ,NZL
49,-154.5085,-77.1842,NZ,NZL
50,-147.6113,-77.567,NZ,NZL
51,-148.249,-76.2457,NZ,NZL
52,-159.5985,-84.6245,NZ,NZL
53,-145.7442,-77.3383,NZ,NZL
54,-168.1977,-83.5956,NZ,NZL
55,-157.7836,-77.4497,NZ,NZL
56,-161.8096,-83.5929,NZ,NZL
57,-148.8919,-77.712,NZ,NZL
58,-149.8436,-80.4875,NZ,NZL
59,-156.4691,-83.4124,NZ,NZL
60,-157.8298,-77.9704,NZ,NZL
61,-149.4036,-76.3873,NZ,NZL
62,-154.2862,-81.4991,NZ,NZL
63,-149.9162,-79.4999,NZ,NZL
64,-155.3866,-78.0503,NZ,NZL
65,-163.9796,-79.2073,NZ,NZL
66,-145.5139,-76.1606,NZ,NZL
67,-173.1595,-84.5644,NZ,NZL
68,-160.2084,-79.5458,NZ,NZL
69,-147.5525,-80.7288,NZ,NZL
70,-168.9752,-83.4751,NZ,NZL
71,-155.004,-85.1914,NZ,NZL
72,-153.8962,-81.8943,NZ,NZL
73,-147.8567,-79.7383,NZ,NZL
74,-163.1356,-78.7892,NZ,NZL
75,-155.6526,-77.1522,NZ,NZL
76,-161.8619,-78.8555,NZ,NZL
77,-164.9103,-83.4023,NZ,NZL
78,-153.4803,-77.3561,NZ,NZL
79,-146.9349,-77.3442,NZ,NZL
80,-151.8716,-79.2503,NZ,NZL
81,-146.04,-76.0925,NZ,NZL
82,-155.3184,-78.5761,NZ,NZL
83,-152.5777,-82.3823,NZ,NZL
84,-153.7326,-78.3156,NZ,NZL
85,-144.4017,-75.8548,NZ,NZL
86,-163.466,-79.3132,NZ,NZL
87,-153.8744,-78.462,NZ,NZL
88,-145.1127,-77.1111,NZ,NZL
89,-161.0636,-79.2008,NZ,NZL
90,-153.6075,-77.5011,NZ,NZL
91,-148.3306,-80.6498,NZ,NZL
92,-157.7775,-83.4628,NZ,NZL
93,-171.8033,-82.9848,NZ,NZL
94,-148.5549,-79.6601,NZ,NZL
95,-147.207,-76.3905,NZ,NZL
96,-154.3803,-82.9007,NZ,NZL
97,-161.1752,-85.076,NZ,NZL
98,-156.0846,-78.1044,NZ,NZL
99,-159.1045,-83.5097,NZ,NZL
100,-155.559,-84.7829,NZ,NZL
101,-178.8001,-84.4304,NZ,NZL
102,-177.1892,-84.4365,NZ,NZL
103,-151.2387,-81.1622,NZ,NZL
